Unnamed: 0,system,e_above,e_above_im,hmix,stability,phase,cost,bcc_delta,hcp_delta,decomposition,Tm,T,density,youngs,delta_r,gam_r,chi,lambda_s,vec,hmix_m,omega,tann_s,im_eform,kappa,him_hmix,m1,m2,m3,m4,m6,m7,mvec
89495,Mn-Nb-Os-Zn,-0.066,-0.047,-0.259,stable,BCC,2754.81,-0.086,0.016,['Mn1Nb1Os1Zn1_SS_BCC'],2067,1860,11.283093540268457,234.0,4.065578140908704,1.124764770245576,0.2622022120425379,0.6973438401646472,8.0,-18.0,1.3236085561251811,-0.2222296410260383,-0.2510193787499997,1.4764990802050653,0.9302224097816352,stable,unstable,unstable,unstable,unstable,stable,IM
89498,Ni-Pd-Re-V,-0.042,-0.028,-0.175,stable,BCC,3323.66,-0.015,0.007,['Ni1Pd1Re1V1_SS_BCC'],2300,2070,12.442372409526756,228.0,1.58903743813658,1.0401084395376567,0.2016184515365596,4.5648166198326185,8.0,-14.6,1.815793991145347,-0.2472802004643871,-0.3533569224999997,1.6536858368123248,1.716390495000258,stable,unstable,unstable,stable,unstable,unstable,IM
89500,Nb-Ni-Rh-Ru,-0.066,-0.021,-0.356,stable,BCC,2207.56,-0.028,-0.005,['Nb1Ni1Rh1Ru1_SS_BCC'],2330,2097,10.498236787717744,256.75,3.998989856459325,1.1252610616146723,0.2676167969317322,0.7207605189209385,8.0,-28.8,0.932513284885,-0.2505055943834878,-0.5250592991666672,1.3357047825586,0.8544908924917874,unstable,unstable,unstable,unstable,unstable,stable,IM
89503,Ni-Pd-Re-W,-0.063,-0.063,-0.054,stable,FCC,3330.89,0.065,0.016,['Ni1Pd1Re1W1_SS_FCC'],2678,2410,15.984480286738352,298.75,1.58903743813658,1.0401084395376567,0.1958794271994892,4.5648166198326185,8.25,-1.4500000000000002,21.287965847374416,-0.2879201638450559,-0.1242853188888888,8.66366770505479,6.552608897761092,stable,stable,stable,stable,stable,stable,FCC
89517,Ru-Si-V-W,-0.05,-0.05,-0.531,stable,BCC,162.7,-0.106,-0.029,['Ru1Si1V1W1_SS_BCC'],2543,2289,9.572251446607048,258.25,8.084520834544435,1.2417725221366898,0.280390352901094,0.1763530703226292,5.75,-25.4,1.1539958258207157,-0.2734058912091028,-0.6566378950000002,1.4154384972954577,1.975782124104512,unstable,unstable,unstable,unstable,unstable,unstable,BCC
89527,Ni-Pd-Rh-Ru,-0.036,-0.036,0.071,stable,FCC,4656.89,0.03,0.005,['Ni1Pd1Rh1Ru1_SS_FCC'],2100,1890,11.68002848101266,260.75,2.6189140043946124,1.083089647289574,0.1409565535901045,1.6805410230744784,9.25,2.2,11.002419717098087,-0.225777574337049,-0.0244667891666665,4.960871098155312,1.0135298124895429,stable,stable,stable,stable,stable,stable,FCC
89529,Mo-Nb-Ru-Si,-0.113,-0.036,-0.558,stable,BCC,158.19,-0.096,-0.01,['Mo1Nb1Ru1Si1_SS_BCC'],2485,2236,7.863547972304649,232.0,10.83879744629816,1.3387904359720924,0.2401561991704566,0.0981136412232653,5.75,-34.724999999999994,0.8248514325945389,-0.2671701296321747,-0.6784951012499985,1.296946515734034,1.5633571063157068,unstable,unstable,unstable,unstable,unstable,unstable,BCC
89547,Nb-Ni-Rh-Ta,-0.075,-0.007,-0.311,stable,BCC,2115.63,-0.074,-0.044,['Nb1Ni1Rh1Ta1_SS_BCC'],2501,2251,11.913903146374828,191.5,3.571428571428564,1.0800055274231002,0.3043332876962359,0.90366540609766,7.25,-37.55,0.767706724588385,-0.2688903397223618,-0.6123632125,1.2763744208518186,1.1487397427598978,unstable,unstable,unstable,unstable,unstable,stable,IM
89556,Mo-Nb-Ru-Ta,-0.096,-0.096,-0.286,stable,BCC,218.94,-0.172,-0.023,['Mo1Nb1Ru1Ta1_SS_BCC'],2886,2597,12.002657659954115,266.75,4.59836497584657,1.1233038791470582,0.3172932397641022,0.5451107128902593,6.0,-26.25,1.2672392429532733,-0.3102828950174874,-0.3424578631249986,1.4562061274631783,0.8875796504076929,stable,unstable,unstable,unstable,unstable,stable,BCC
89560,Pd-Sc-Si-Sn,-0.1,-0.002,-0.722,stable,HCP,3085.04,-0.067,-0.132,['Pd1Sc1Si1Sn1_SS_HCP'],1459,1313,5.744007166249276,73.0,13.086341483183734,1.486256775021439,0.3070423423568808,0.0673062038672093,5.25,-63.075,0.266618098695366,-0.1568616575989307,-0.9129790133333332,1.0959825155303318,1.374119118598155,unstable,unstable,unstable,unstable,unstable,unstable,BCC
